,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
350,5,3.5717556,3.5965743,"(161, 12)",0,1,False,0.50173116,0.50620437
351,5,3.1898463,2.9310956,"(47, 45)",0,0,True,0.4788635,0.43567085
352,5,4.3225102,4.964921,"(55, 45)",0,1,False,0.53458494,0.65529823
353,5,4.623992,4.33056,"(58, 88)",0,0,True,0.4836155,0.42716396
354,5,4.5248,4.0491066,"(58, 89)",0,0,True,0.47225925,0.38326964
355,5,3.616853,3.8194385,"(58, 243)",0,1,False,0.5136214,0.55047387
356,5,3.8475192,4.448411,"(68, 59)",0,1,False,0.5362161,0.6458603
357,5,2.481142,3.5365994,"(68, 156)",0,1,False,0.5876955,0.7418215
358,5,4.2937436,4.17785,"(24, 151)",0,0,True,0.49315986,0.4710589
359,5,4.3243423,3.9566538,"(29, 151)",0,0,True,0.47779927,0.40909967
360,5,3.7786179,3.2755494,"(151, 99)",0,0,True,0.46434245,0.37681985
361,5,3.063531,2.9759557,"(102, 151)",0,0,True,0.49274978,0.47812015
362,5,4.012238,3.998712,"(91, 151)",0,0,True,0.49915576,0.49661854
363,5,2.901829,2.961065,"(151, 154)",0,1,False,0.5050518,0.5148047
364,5,4.718188,4.7547092,"(172, 151)",0,1,False,0.5019277,0.5091294
365,5,3.9931834,3.862583,"(151, 255)",0,0,True,0.49168763,0.4673962
366,5,3.956002,4.2602153,"(256, 151)",0,1,False,0.51851296,0.5754722
367,5,3.4388952,2.6760733,"(19, 77)",0,0,True,0.43762666,0.31803393
368,5,3.1587157,3.4928772,"(10, 20)",0,1,False,0.5251189,0.5827716
369,5,2.74776,3.0935042,"(43, 20)",0,1,False,0.529595,0.5855852
370,5,2.8632438,3.162546,"(20, 78)",0,1,False,0.5248351,0.57427186
371,5,3.1814265,3.1838899,"(74, 53)",0,1,False,0.5001935,0.5006158
372,5,2.9971552,3.5404665,"(15, 160)",0,1,False,0.54155266,0.6325824
