accuracy,auroc,pr,method,theta,mu
0.6724896004191016,0.7365953407598256,0.7277330263020978,ISOMAP,0.2,0.5
,,,N2V,0.05,0.5
,,,N2V,0.1,0.4
,,,N2V,0.25,0.3
,,,N2V,0.35,0.2
,,,N2V,0.2,0.4
,,,N2V,0.05,0.3
,,,N2V,0.15,0.5
0.7039224272755709,0.7818966264672605,0.7820221076994135,ISOMAP,0.2,0.2
0.679566006028435,0.7483694200775282,0.7431348845353446,ISOMAP,0.25,0.5
0.6710931582933602,0.7343252718890727,0.726042165006611,ISOMAP,0.2,0.5
0.6225182154115952,0.6657502179481354,0.647850206406005,ISOMAP,0.05,0.5
,,,N2V,0.2,0.2
,,,N2V,0.25,0.5
,,,N2V,0.05,0.2
0.7030659386812264,0.7791743630507394,0.7784891810188359,ISOMAP,0.25,0.3
0.6884966288527398,0.7582610900351926,0.754258285977703,ISOMAP,0.25,0.4
0.6633557999290528,0.7277096625482419,0.7227358706968046,ISOMAP,0.1,0.2
,,,N2V,0.15,0.5
0.7134879462923406,0.7925614000075141,0.7909955984313718,ISOMAP,0.35,0.4
,,,N2V,0.15,0.3
,,,N2V,0.25,0.3
0.691881353919982,0.7642441244623801,0.7618231504939226,ISOMAP,0.2,0.3
,,,N2V,0.1,0.3
,,,N2V,0.05,0.3
0.8939273901245816,0.9639009166692744,0.965548002493434,LE,0.5,0.1
0.8196999950494233,0.9029008600897119,0.9034414276419319,N2V,0.4,0.1
,,,N2V,0.35,0.3
0.7027263914157846,0.7796173193913447,0.778376638137912,ISOMAP,0.25,0.3
,,,N2V,0.25,0.4
0.6809573053626828,0.7486673386182958,0.7445173687368453,ISOMAP,0.15,0.3
,,,N2V,0.35,0.2
0.7663165734435797,0.8574981040264814,0.8601498898052206,ISOMAP,0.35,0.2
0.6736800644315503,0.7408228906185399,0.7372302623073383,ISOMAP,0.15,0.3
0.663749643298773,0.7218316226677801,0.7082592369216332,ISOMAP,0.15,0.5
,,,N2V,0.15,0.2
0.6541827441648411,0.7125467162578726,0.7025596799924119,ISOMAP,0.1,0.3
,,,N2V,0.2,0.4
0.8503574317742815,0.9274332106767339,0.926270253613997,N2V,0.7,0.1
0.6819291455790414,0.7485310381245833,0.7418253604224317,ISOMAP,0.25,0.5
,,,N2V,0.05,0.2
,,,N2V,0.05,0.4
0.6621296515762028,0.7212411313992783,0.7120840165927148,ISOMAP,0.15,0.5
0.9153060045236169,0.9756425799512702,0.9762263349046788,LE,0.7,0.1
0.6253728219350112,0.6732895373459763,0.6623818021222545,ISOMAP,0.05,0.2
0.6934540006315549,0.7638808978765571,0.75936792380912,ISOMAP,0.25,0.4
,,,N2V,0.2,0.5
,,,N2V,0.15,0.2
