,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
154,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.2,0.13725821346970335,[17.747541180170565],0.47523612070951393,0.4728500135853414,0.4809483492168423,-1.0,,17.747541180170565
155,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.22499999999999998,-0.07606946372256512,[15.054186404539276],0.4814020028612303,0.4701855283898669,0.4679394589375209,-1.0,,15.054186404539276
156,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.25,0.0500251348444653,[14.624676978198808],0.4707036038244668,0.45868607547828444,0.4677576447182898,-1.0,,14.624676978198808
157,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.27499999999999997,0.06736737103992355,[12.263268710838284],0.47161682716675113,0.46568452124007687,0.4808608812124037,-1.0,,12.263268710838284
158,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.3,0.044665774268133465,[12.642098037810651],0.47549909255898365,0.4561892884742279,0.4710482518327682,-1.0,,12.642098037810651
159,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.32499999999999996,0.03275919923430089,[10.257919151524503],0.4820944112859468,0.46409000905390385,0.47266847653344496,-1.0,,10.257919151524503
160,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.35,0.0020553520867422578,[8.804393173079392],0.4710062535531552,0.470077619396058,0.47427460560729734,-1.0,,8.804393173079392
161,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.37499999999999994,-0.07182875901947251,[9.026802379127169],0.48323126275882183,0.4639079383987067,0.4566301362273551,-1.0,,9.026802379127169
162,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.39999999999999997,-0.006603220145463163,[8.300043773555133],0.4771121351766513,0.4611416493040741,0.462702101910361,-1.0,,8.300043773555133
163,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.42499999999999993,-0.026914002597723603,[7.395011404995964],0.4653846153846154,0.44708440056396626,0.456458968360769,-1.0,,7.395011404995964
164,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.44999999999999996,-0.027627262931486443,[6.7827572857363565],0.45999330431871444,0.4383148096830577,0.4424584132591377,-1.0,,6.7827572857363565
165,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.475,-0.09904294500444209,[6.3763302755394875],0.48066104078762306,0.4607793918149502,0.4443548547277619,-1.0,,6.3763302755394875
166,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.49999999999999994,0.02156429992720117,[6.372310480969901],0.4672661870503597,0.4553196489195794,0.47244315576392254,-1.0,,6.372310480969901
167,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.525,0.019269287034082084,[5.925138504098892],0.4607956740054075,0.4438326714247687,0.46985098017816607,-1.0,,5.925138504098892
168,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.5499999999999999,-0.020793905480753824,[5.688607628961415],0.4653546535465355,0.44647819034758796,0.4561682454125637,-1.0,,5.688607628961415
169,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.575,0.018419592653524504,[5.1721905479180625],0.4573839662447257,0.43674366731617276,0.45008183595577633,-1.0,,5.1721905479180625
170,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.6,0.012014361161306211,[4.914016311237508],0.4470534069981584,0.4212085162382234,0.4467514746082967,-1.0,,4.914016311237508
171,LFR_gamma-3.5,1,2,"{'deg', 'imb'}",0.625,0.05865235812378409,[4.432218193656216],0.46045340050377837,0.4461306890414442,0.4793508975676819,-1.0,,4.432218193656216
