,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
18,1000,5.0,5.0,0.8,-0.028218209904117022,3.295242856992609,0.2510495382031906,0.1459556480494504,0.3295630046931309,0.029845801000192296,0.02984619140625,2961.0,2897.0,5.922,5.794,7.11,6.988
19,1000,5.0,5.0,0.9,-0.018366708799681115,2.7313193291041857,0.19655172413793104,0.09251768860889382,0.3417194208445116,0.028007416999571433,0.028008699417114258,2961.0,2897.0,5.922,5.794,6.468,6.408
20,1000,5.0,5.0,,,,,,,,,,,,,,
21,1000,5.0,5.0,0.1,0.00528797531774523,9.312792127953706,0.4581958195819582,0.4265990467961008,0.47382127211942154,0.07012531600003058,0.07012605667114258,3195.0,2855.0,6.39,5.71,11.498,11.51
22,1000,5.0,5.0,0.2,-0.05528682605799154,9.93864808774324,0.435152521269973,0.3881393218180783,0.43818347276036457,0.03462181400027475,0.0346219539642334,3195.0,2855.0,6.39,5.71,11.01,10.728
23,1000,5.0,5.0,0.30000000000000004,-0.036840544809445194,8.563944950914454,0.41040189125295506,0.35239249645715826,0.42299742450861944,0.03424199899973246,0.03424358367919922,3195.0,2855.0,6.39,5.71,10.42,10.14
24,1000,5.0,5.0,0.4,-0.08326755244964923,7.16192965570489,0.3871232876712329,0.32493806249367985,0.41037975215868644,0.034890317999725085,0.034891366958618164,3195.0,2855.0,6.39,5.71,9.862,9.538
25,1000,5.0,5.0,0.5,-0.13236214033043886,5.675875906586703,0.3669634025717112,0.29037507290787057,0.3875986763402082,0.0339002780001465,0.033901214599609375,3195.0,2855.0,6.39,5.71,9.326,8.84
26,1000,5.0,5.0,0.6000000000000001,-0.12424791448070845,4.873237901441454,0.3245469522240527,0.2522315772264683,0.3875611718267119,0.03502682099997401,0.03502798080444336,3195.0,2855.0,6.39,5.71,8.666,8.29
27,1000,5.0,5.0,0.7000000000000001,-0.15486093769185508,4.091228634659559,0.31364124597207305,0.21865872363640987,0.36658354327833054,0.03284644000041226,0.03284764289855957,3195.0,2855.0,6.39,5.71,8.172,7.652
28,1000,5.0,5.0,0.8,-0.14872678684088553,3.4662714432937203,0.2594075260208166,0.15329247727553164,0.351467357809016,0.0312947760003226,0.031295061111450195,3195.0,2855.0,6.39,5.71,7.576,7.022
29,1000,5.0,5.0,0.9,-0.14208661224982458,2.7799294796497556,0.19508196721311474,0.08852292497379541,0.34651451243817977,0.03320170400002098,0.0332026481628418,3195.0,2855.0,6.39,5.71,6.956,6.364
30,1000,5.0,5.0,,,,,,,,,,,,,,
31,1000,5.0,5.0,0.1,-0.016179130924677224,9.455709680732435,0.44798136645962733,0.4225727570044159,0.435093868825261,0.03583974999992279,0.035840749740600586,2849.0,2899.0,5.698,5.798,10.902,10.898
32,1000,5.0,5.0,0.2,0.055954066176944664,10.122071969966994,0.42423585519184914,0.3857568751292318,0.41748451384304297,0.03460171699998682,0.03460240364074707,2849.0,2899.0,5.698,5.798,10.324,10.398
33,1000,5.0,5.0,0.30000000000000004,0.04436018948024746,8.848201687867773,0.39336609336609335,0.35097366211559344,0.4011093864816912,0.03267686999970465,0.03267788887023926,2849.0,2899.0,5.698,5.798,9.764,9.872
34,1000,5.0,5.0,0.4,0.0792451418558876,7.0588780931001285,0.37056128293241697,0.31090807580878804,0.3815557059566458,0.03331605099992885,0.033316850662231445,2849.0,2899.0,5.698,5.798,9.186,9.294
35,1000,5.0,5.0,0.5,0.029379556700349578,5.7620989104774285,0.3588850174216028,0.2779990859502984,0.3626516851231182,0.06987585299975763,0.06987643241882324,2849.0,2899.0,5.698,5.798,8.6,8.636
36,1000,5.0,5.0,0.6000000000000001,0.04702888325291496,4.923016579003913,0.3146019582801192,0.2328708234560652,0.3539012873490227,0.03223042900026485,0.03223276138305664,2849.0,2899.0,5.698,5.798,8.038,8.156
