_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
188,london,1,2,0.75,0.9010989010989011,0.9633802816901409,-1.5604227639622226,-2.2131148724969303
189,london,1,2,0.75,0.8804347826086957,0.9624999999999999,-1.488520451982288,-2.159501282748622
190,london,1,2,0.85,0.9411764705882353,0.9122596153846154,-2.2649863596603015,-2.416569202986987
191,london,1,2,0.85,0.8888888888888888,0.9474671669793622,-2.1639140495139086,-2.3889772088882473
192,london,1,2,0.85,0.8679245283018868,1.0,-2.4775812544491385,-2.4570211983723893
193,london,1,2,0.85,0.8909090909090909,0.9533333333333334,-2.3178575603517566,-2.4196170447495264
194,london,1,2,0.85,0.696969696969697,0.80125,0.08282026035277548,-1.5515642610265514
195,london,1,2,0.95,0.8461538461538461,1.0,-2.4546988551887967,-2.462023080185913
196,london,1,2,0.95,1.0,1.0,-2.45592000165288,-2.469919883954151
197,london,1,2,0.95,0.9642857142857143,0.99375,-2.3389551925117686,-2.453112476532564
198,london,1,2,0.95,0.9032258064516129,0.9533333333333334,-2.3129466848509517,-2.428833439402138
199,london,1,2,0.95,0.9629629629629629,0.9857142857142858,-2.4415196700090394,-2.475781647956384
200,london,1,3,0.05,0.8875739644970414,0.5122139764996908,1.897573915243921,-1.1738899813882244
201,london,1,3,0.05,0.8789625360230547,0.5332283228322833,2.488063088708737,-1.1388757923594859
202,london,1,3,0.05,0.8713450292397661,0.4322484100261878,3.31119843547839,-1.1224645296075841
203,london,1,3,0.05,0.8830409356725146,0.4702581369248036,2.8142157573421342,-1.1130356079536352
204,london,1,3,0.05,0.8839285714285714,0.4174934518612588,1.6163018502512696,-1.0685592463887241
205,london,1,3,0.15,0.8966666666666666,0.5108653846153846,2.0071077594979054,-1.483592801971288
206,london,1,3,0.15,0.8859934853420195,0.4938005390835579,2.6793079612634982,-1.25035023853954
207,london,1,3,0.15,0.8721311475409836,0.4291346343386557,0.9321712501146222,-1.2831412880608906
208,london,1,3,0.15,0.9230769230769231,0.6070772058823529,3.3632966118930137,-1.7229781639584378
209,london,1,3,0.15,0.8762541806020067,0.37586872586872583,1.7163453917118305,-1.4618964809305883
210,london,1,3,0.25,0.8781362007168458,0.63826222917132,1.275655852992262,-1.7277217421519322
211,london,1,3,0.25,0.8913043478260869,0.6398717381689518,1.7461011059244935,-1.3865841491260384
212,london,1,3,0.25,0.9182879377431906,0.6037681986868398,1.5171532816556357,-1.5074277761005261
213,london,1,3,0.25,0.8949416342412452,0.7072481572481573,1.790521054525176,-1.6483274226816218
214,london,1,3,0.25,0.9405204460966543,0.6332246591582691,2.159793141627132,-1.6873399549231356
215,london,1,3,0.35,0.885593220338983,0.6968204209583521,1.8481118316957192,-1.6303860786892337
216,london,1,3,0.35,0.925764192139738,0.7684790334044065,1.3996504483325252,-1.6284684580312487
217,london,1,3,0.35,0.8995983935742972,0.621494135645079,1.8252078317257483,-1.5454132519709733
218,london,1,3,0.35,0.9063829787234042,0.7041256157635468,1.4087459234028898,-1.5084504247283417
219,london,1,3,0.35,0.9585253456221198,0.8659326424870466,1.6570786537236009,-1.5632740172217972
220,london,1,3,0.44999999999999996,0.9,0.8105142857142857,1.417076286410494,-1.6205418734991455
221,london,1,3,0.44999999999999996,0.9251336898395722,0.8782716049382717,1.298622575454976,-1.5912899172234989
222,london,1,3,0.44999999999999996,0.9583333333333334,0.8470930232558139,1.7573842379419717,-1.6659384661143708
223,london,1,3,0.44999999999999996,0.9381443298969072,0.9098224852071006,2.845790998352095,-1.8251172987016857
224,london,1,3,0.44999999999999996,0.9109947643979057,0.7398373983739837,2.0123515058340966,-1.6634709904509257
225,london,1,3,0.5499999999999999,0.8974358974358975,0.8606617647058823,1.2039592884951034,-1.480296750313053
226,london,1,3,0.5499999999999999,0.7741935483870968,0.9022556390977443,0.67334297306924,-1.6755939971737148
227,london,1,3,0.5499999999999999,0.9272727272727272,0.8775260257195345,1.8851559475184267,-1.6366193410362013
228,london,1,3,0.5499999999999999,0.8930817610062893,0.9632735685367264,0.9972933051403965,-1.5937265598409125
229,london,1,3,0.5499999999999999,0.9216867469879518,0.8970070422535211,1.8841606314760402,-1.6524589255340936
230,london,1,3,0.65,0.9,0.9736842105263157,0.7862486404636541,-1.6371979535751093
231,london,1,3,0.65,0.9133858267716536,0.8529761904761904,1.6683415479450796,-1.5647467935989807
232,london,1,3,0.65,0.9481481481481482,0.9066666666666667,3.284127575136793,-1.938227428995701
233,london,1,3,0.65,0.9512195121951219,0.9244755244755245,2.332998588664833,-1.7425706430875998
234,london,1,3,0.65,0.8827586206896552,0.8576881134133042,1.157202240409259,-1.6529271818532911
235,london,1,3,0.75,0.9659090909090909,0.9859353023909986,1.419270917488067,-1.6747128234683064
236,london,1,3,0.75,0.9361702127659575,0.9951923076923077,1.02919517293742,-1.7388918009467416
237,london,1,3,0.75,0.9761904761904762,0.9703947368421053,1.998338113207873,-1.4948566363356282
238,london,1,3,0.75,0.9176470588235294,0.980952380952381,2.1820367329259245,-1.674233514415587
239,london,1,3,0.75,0.8875,0.9644268774703557,0.3247877493308035,-1.7970818351592706
240,london,1,3,0.85,0.9,0.9402173913043478,1.508999692226588,-1.640726628213791
241,london,1,3,0.85,0.9629629629629629,1.0,1.6189967075260003,-1.678857120961456
242,london,1,3,0.85,0.9791666666666666,1.0,1.3200218090836964,-1.6286769737477675
243,london,1,3,0.85,1.0,1.0,2.3257436900217487,-1.6990706291446487
244,london,1,3,0.85,0.9122807017543859,0.9846153846153846,1.3039505190639868,-1.6685830750327846
245,london,1,3,0.95,1.0,-1.0,,
246,london,1,3,0.95,0.9333333333333333,1.0,2.6808177792710004,-1.6773460004710579
247,london,1,3,0.95,0.95,1.0,2.220995110939962,-1.625176637410941
248,london,1,3,0.95,1.0,-1.0,,
249,london,1,3,0.95,1.0,1.0,2.7055657649598377,-1.6888667983961767
250,london,2,3,0.05,0.6528925619834711,0.5820543093270367,0.6892277123612095,-0.8145151428678401
251,london,2,3,0.05,0.4796747967479675,0.4703703703703704,-0.7016866584277274,-0.9288749957775047
252,london,2,3,0.05,0.3821138211382114,0.39326812428078245,-1.3885663348525383,-1.002469397889725
253,london,2,3,0.05,0.6693548387096774,0.5440225035161744,1.6990139440187626,-0.8415715258017261
